# s  W0^2        W2^2        W4^2        W6^2        W8^2
3.193809817073126389e+00 7.097352181530360848e-01 2.049276680474863138e-02 4.373413010500059456e-02 1.846501172353220629e-03 3.393019654644380267e-02
3.196108800092157143e+00 7.097057259264764051e-01 2.047705978138048694e-02 4.371642520666128851e-02 1.882698992522364567e-03 3.390891496344253242e-02
3.198409437975825220e+00 7.096762544634303005e-01 2.046136830638790524e-02 4.369871000135450850e-02 1.918820922860863800e-03 3.388766515226865339e-02
3.200711731915341307e+00 7.096468037493198766e-01 2.044569237244671031e-02 4.368098450707056518e-02 1.954867026201401615e-03 3.386644707797512727e-02
3.203015683102775846e+00 7.096173737695670170e-01 2.043003197223268799e-02 4.366324874179974141e-02 1.990837365376697289e-03 3.384526070561489491e-02
3.205321292731057703e+00 7.095879645095942712e-01 2.041438709842164495e-02 4.364550272353232008e-02 2.026732003219467500e-03 3.382410600024091107e-02
3.207628561993971950e+00 7.095585759548237448e-01 2.039875774368938785e-02 4.362774647025862568e-02 2.062551002562397918e-03 3.380298292690613743e-02
3.209937492086166078e+00 7.095292080906776544e-01 2.038314390071171295e-02 4.360997999996893415e-02 2.098294426238228420e-03 3.378189145066352178e-02
3.212248084203144227e+00 7.094998609025785496e-01 2.036754556216445466e-02 4.359220333065358388e-02 2.133962337079621258e-03 3.376083153656606051e-02
3.214560339541273404e+00 7.094705343759480920e-01 2.035196272072338497e-02 4.357441648030282999e-02 2.169554797919305902e-03 3.373980314966668059e-02
3.216874259297782146e+00 7.094412284962090531e-01 2.033639536906432788e-02 4.355661946690699698e-02 2.205071871589989272e-03 3.371880625501832984e-02
3.219189844670758749e+00 7.094119432487832055e-01 2.032084349986306229e-02 4.353881230845635386e-02 2.240513620924389129e-03 3.369784081767397688e-02
3.221507096859155705e+00 7.093826786190929878e-01 2.030530710579541223e-02 4.352099502294122513e-02 2.275880108755199381e-03 3.367690680268657644e-02
3.223826017062787042e+00 7.093534345925603946e-01 2.028978617953718436e-02 4.350316762835190754e-02 2.311171397915116974e-03 3.365600417510909020e-02
3.226146606482332313e+00 7.093242111546081974e-01 2.027428071376416452e-02 4.348533014267869090e-02 2.346387551236873547e-03 3.363513289999447986e-02
3.228468866319332609e+00 7.092950082906580578e-01 2.025879070115218020e-02 4.346748258391185810e-02 2.381528631553150432e-03 3.361429294239567239e-02
3.230792797776196768e+00 7.092658259861324144e-01 2.024331613437702071e-02 4.344962497004174057e-02 2.416594701696666691e-03 3.359348426736566418e-02
3.233118402056198271e+00 7.092366642264538168e-01 2.022785700611448578e-02 4.343175731905861425e-02 2.451585824500140520e-03 3.357270683995739607e-02
3.235445680363475685e+00 7.092075229970435934e-01 2.021241330904039249e-02 4.341387964895276896e-02 2.486502062796256286e-03 3.355196062522381589e-02
3.237774633903035770e+00 7.091784022833248491e-01 2.019698503583052668e-02 4.339599197771451533e-02 2.521343479417742159e-03 3.353124558821787837e-02
3.240105263880751263e+00 7.091493020707193562e-01 2.018157217916071236e-02 4.337809432333415011e-02 2.556110137197295518e-03 3.351056169399255213e-02
3.242437571503364424e+00 7.091202223446496644e-01 2.016617473170674579e-02 4.336018670380199086e-02 2.590802098967622414e-03 3.348990890760079886e-02
3.244771557978483933e+00 7.090911630905377683e-01 2.015079268614443711e-02 4.334226913710830659e-02 2.625419427561406782e-03 3.346928719409557329e-02
3.247107224514590662e+00 7.090621242938057733e-01 2.013542603514956869e-02 4.332434164124338710e-02 2.659962185811401078e-03 3.344869651852980241e-02
3.249444572321034119e+00 7.090331059398761182e-01 2.012007477139796455e-02 4.330640423419756385e-02 2.694430436550288802e-03 3.342813684595648954e-02
3.251783602608032897e+00 7.090041080141707974e-01 2.010473888756542440e-02 4.328845693396111277e-02 2.728824242610767767e-03 3.340760814142855473e-02
3.254124316586679555e+00 7.089751305021126937e-01 2.008941837632775493e-02 4.327049975852433061e-02 2.763143666825564840e-03 3.338711036999897352e-02
3.256466715468934403e+00 7.089461733891232464e-01 2.007411323036075237e-02 4.325253272587753495e-02 2.797388772027365692e-03 3.336664349672070762e-02
3.258810800467634827e+00 7.089172366606246722e-01 2.005882344234022688e-02 4.323455585401100865e-02 2.831559621048885915e-03 3.334620748664669093e-02
3.261156572796488629e+00 7.088883203020398538e-01 2.004354900494197469e-02 4.321656916091504153e-02 2.865656276722858449e-03 3.332580230482989903e-02
3.263504033670076243e+00 7.088594242987905636e-01 2.002828991084181637e-02 4.319857266457994421e-02 2.899678801881932968e-03 3.330542791632329358e-02
3.265853184303855627e+00 7.088305486362992403e-01 2.001304615271553775e-02 4.318056638299602734e-02 2.933627259358870601e-03 3.328508428617980852e-02
3.268204025914156485e+00 7.088016932999877673e-01 1.999781772323894896e-02 4.316255033415355297e-02 2.967501711986357017e-03 3.326477137945241247e-02
